grid_id,pedestrian_10h,pedestrian_18h,pedestrian_22h,pattern
G001836,306.8735180550967,278.4195070503387,110.1193643770986,"10h=306.8735, 18h=278.4195, 22h=110.1194"
G001832,306.87313345087574,278.41215248884845,110.11461125484605,"10h=306.8731, 18h=278.4122, 22h=110.1146"
G001726,306.77870695043123,278.33037142122487,110.09476930131177,"10h=306.7787, 18h=278.3304, 22h=110.0948"
G004858,352.8775889811994,278.18606138114444,136.3624348868044,"10h=352.8776, 18h=278.1861, 22h=136.3624"
G001831,306.8348898175928,277.6808418654598,109.64197820906111,"10h=306.8349, 18h=277.6808, 22h=109.6420"
G003265,311.2238352013116,277.0383833174694,133.29942350009213,"10h=311.2238, 18h=277.0384, 22h=133.2994"
G001530,305.6762357593834,276.961923583829,116.06134402854128,"10h=305.6762, 18h=276.9619, 22h=116.0613"
G001938,306.77137210255927,276.6291571362734,108.96478725062096,"10h=306.7714, 18h=276.6292, 22h=108.9648"
G006369,343.7260190832327,276.1818776860846,152.45636547920776,"10h=343.7260, 18h=276.1819, 22h=152.4564"
G002409,283.74012564706936,275.79887861805366,222.55737138197955,"10h=283.7401, 18h=275.7989, 22h=222.5574"
G001833,306.6196777374672,273.56546717516585,106.98228475977533,"10h=306.6197, 18h=273.5655, 22h=106.9823"
G001344,302.7482810837494,273.39756154606636,130.58972531709352,"10h=302.7483, 18h=273.3976, 22h=130.5897"
G002183,275.74406666154863,272.1343130544644,207.67932408193775,"10h=275.7441, 18h=272.1343, 22h=207.6793"
G002609,325.4502004462698,271.80980051515894,151.68858290197912,"10h=325.4502, 18h=271.8098, 22h=151.6886"
G012516,339.84540226250004,271.05523435577675,485.0542233027129,"10h=339.8454, 18h=271.0552, 22h=485.0542"
G001258,297.968255618711,270.3399608144617,106.92377472400257,"10h=297.9683, 18h=270.3400, 22h=106.9238"
G008400,331.51077930170754,270.14965650135287,93.04867306585363,"10h=331.5108, 18h=270.1497, 22h=93.0487"
